,category,message
3354,Larceny/Theft,We stole something
3355,Larceny/Theft,We stole something in my condo
3356,Larceny/Theft,We broke into my apartment
3357,Larceny/Theft,We broke into my condo
3358,Larceny/Theft,We breaking into that house
3359,Larceny/Theft,We breaking into that condo
3360,Larceny/Theft,We breaking into that apartment
3361,Larceny/Theft,We house
3362,Larceny/Theft,We apartment
3363,Larceny/Theft,We condo
3364,Larceny/Theft,We stole purse
3365,Larceny/Theft,We stole money
3366,Larceny/Theft,We took phone
3367,Larceny/Theft,We ran off after taking something
3368,Larceny/Theft,We stole belongings
3369,Larceny/Theft,We robbed me
3370,Larceny/Theft,We laptop stolen
3371,Larceny/Theft,We computer stolen
3372,Larceny/Theft,We took from locked car
3373,Larceny/Theft,We took credit card
3374,Larceny/Theft,We stole wallet
3375,Larceny/Theft,We shoplifting
3376,Larceny/Theft,We shop lifted
3377,Larceny/Theft,We took from store
3378,Larceny/Theft,We stole from mall
3379,Larceny/Theft,We lost it
3380,Larceny/Theft,We stolen bike
3381,Larceny/Theft,We stolen motercycke
3382,Larceny/Theft,We burglar
3383,Larceny/Theft,We robbery
3384,Larceny/Theft,We robbed
3385,Larceny/Theft,We robbing
3386,Larceny/Theft,We robbed me with gun
3387,Larceny/Theft,We robbed me with knife
3388,Larceny/Theft,We pickpocket
3389,Larceny/Theft,men stole my bike
3390,Larceny/Theft,men stole a bike
3391,Larceny/Theft,men bike is gone
3392,Larceny/Theft,men took bike
3393,Larceny/Theft,men bike
3394,Larceny/Theft,men bike lock
3395,Larceny/Theft,men stealing
3396,Larceny/Theft,men stole
3397,Larceny/Theft,men broke
3398,Larceny/Theft,men theft
3399,Larceny/Theft,men thief
3400,Larceny/Theft,men steal
3401,Larceny/Theft,men took it
3402,Larceny/Theft,men car stolen
3403,Larceny/Theft,men car was hijacked
3404,Larceny/Theft,men alarm in a car is going off
3405,Larceny/Theft,men car is gone
3406,Larceny/Theft,men stole car
3407,Larceny/Theft,men took car
3408,Larceny/Theft,men car
3409,Larceny/Theft,men van
3410,Larceny/Theft,men suv
3411,Larceny/Theft,men tesla
3412,Larceny/Theft,men toyota
3413,Larceny/Theft,men honda
3414,Larceny/Theft,men bmw
3415,Larceny/Theft,men mercedes
3416,Larceny/Theft,men truck
3417,Larceny/Theft,men lock
3418,Larceny/Theft,men broke lock
3419,Larceny/Theft,men opened door
3420,Larceny/Theft,men Somebody broke into my house
3421,Larceny/Theft,men break intostole something in my apartment
3422,Larceny/Theft,men stole something
3423,Larceny/Theft,men stole something in my condo
3424,Larceny/Theft,men broke into my apartment
3425,Larceny/Theft,men broke into my condo
3426,Larceny/Theft,men breaking into that house
3427,Larceny/Theft,men breaking into that condo
3428,Larceny/Theft,men breaking into that apartment
3429,Larceny/Theft,men house
3430,Larceny/Theft,men apartment
3431,Larceny/Theft,men condo
3432,Larceny/Theft,men stole purse
3433,Larceny/Theft,men stole money
3434,Larceny/Theft,men took phone
3435,Larceny/Theft,men ran off after taking something
3436,Larceny/Theft,men stole belongings
3437,Larceny/Theft,men robbed me
3438,Larceny/Theft,men laptop stolen
3439,Larceny/Theft,men computer stolen
3440,Larceny/Theft,men took from locked car
3441,Larceny/Theft,men took credit card
3442,Larceny/Theft,men stole wallet
3443,Larceny/Theft,men shoplifting
3444,Larceny/Theft,men shop lifted
3445,Larceny/Theft,men took from store
3446,Larceny/Theft,men stole from mall
3447,Larceny/Theft,men lost it
3448,Larceny/Theft,men stolen bike
3449,Larceny/Theft,men stolen motercycke
3450,Larceny/Theft,men burglar
3451,Larceny/Theft,men robbery
3452,Larceny/Theft,men robbed
3453,Larceny/Theft,men robbing
3454,Larceny/Theft,men robbed me with gun
3455,Larceny/Theft,men robbed me with knife
3456,Larceny/Theft,men pickpocket
3457,Larceny/Theft,women stole my bike
3458,Larceny/Theft,women stole a bike
3459,Larceny/Theft,women bike is gone
3460,Larceny/Theft,women took bike
3461,Larceny/Theft,women bike
3462,Larceny/Theft,women bike lock
3463,Larceny/Theft,women stealing
3464,Larceny/Theft,women stole
3465,Larceny/Theft,women broke
3466,Larceny/Theft,women theft
3467,Larceny/Theft,women thief
3468,Larceny/Theft,women steal
3469,Larceny/Theft,women took it
3470,Larceny/Theft,women car stolen
3471,Larceny/Theft,women car was hijacked
3472,Larceny/Theft,women alarm in a car is going off
3473,Larceny/Theft,women car is gone
3474,Larceny/Theft,women stole car
3475,Larceny/Theft,women took car
3476,Larceny/Theft,women car
3477,Larceny/Theft,women van
3478,Larceny/Theft,women suv
3479,Larceny/Theft,women tesla
3480,Larceny/Theft,women toyota
3481,Larceny/Theft,women honda
3482,Larceny/Theft,women bmw
3483,Larceny/Theft,women mercedes
3484,Larceny/Theft,women truck
3485,Larceny/Theft,women lock
3486,Larceny/Theft,women broke lock
3487,Larceny/Theft,women opened door
3488,Larceny/Theft,women Somebody broke into my house
3489,Larceny/Theft,women break intostole something in my apartment
3490,Larceny/Theft,women stole something
3491,Larceny/Theft,women stole something in my condo
3492,Larceny/Theft,women broke into my apartment
3493,Larceny/Theft,women broke into my condo
3494,Larceny/Theft,women breaking into that house
3495,Larceny/Theft,women breaking into that condo
3496,Larceny/Theft,women breaking into that apartment
3497,Larceny/Theft,women house
3498,Larceny/Theft,women apartment
3499,Larceny/Theft,women condo
3500,Larceny/Theft,women stole purse
3501,Larceny/Theft,women stole money
3502,Larceny/Theft,women took phone
3503,Larceny/Theft,women ran off after taking something
3504,Larceny/Theft,women stole belongings
3505,Larceny/Theft,women robbed me
3506,Larceny/Theft,women laptop stolen
3507,Larceny/Theft,women computer stolen
3508,Larceny/Theft,women took from locked car
3509,Larceny/Theft,women took credit card
3510,Larceny/Theft,women stole wallet
3511,Larceny/Theft,women shoplifting
3512,Larceny/Theft,women shop lifted
3513,Larceny/Theft,women took from store
3514,Larceny/Theft,women stole from mall
3515,Larceny/Theft,women lost it
3516,Larceny/Theft,women stolen bike
3517,Larceny/Theft,women stolen motercycke
3518,Larceny/Theft,women burglar
3519,Larceny/Theft,women robbery
3520,Larceny/Theft,women robbed
3521,Larceny/Theft,women robbing
3522,Larceny/Theft,women robbed me with gun
3523,Larceny/Theft,women robbed me with knife
3524,Larceny/Theft,women pickpocket
3525,Larceny/Theft,a guy stole my bike
3526,Larceny/Theft,a guy stole a bike
3527,Larceny/Theft,a guy bike is gone
3528,Larceny/Theft,a guy took bike
3529,Larceny/Theft,a guy bike
3530,Larceny/Theft,a guy bike lock
3531,Larceny/Theft,a guy stealing
3532,Larceny/Theft,a guy stole
3533,Larceny/Theft,a guy broke
3534,Larceny/Theft,a guy theft
3535,Larceny/Theft,a guy thief
3536,Larceny/Theft,a guy steal
3537,Larceny/Theft,a guy took it
3538,Larceny/Theft,a guy car stolen
3539,Larceny/Theft,a guy car was hijacked
3540,Larceny/Theft,a guy alarm in a car is going off
3541,Larceny/Theft,a guy car is gone
3542,Larceny/Theft,a guy stole car
3543,Larceny/Theft,a guy took car
3544,Larceny/Theft,a guy car
3545,Larceny/Theft,a guy van
3546,Larceny/Theft,a guy suv
3547,Larceny/Theft,a guy tesla
3548,Larceny/Theft,a guy toyota
3549,Larceny/Theft,a guy honda
3550,Larceny/Theft,a guy bmw
3551,Larceny/Theft,a guy mercedes
3552,Larceny/Theft,a guy truck
3553,Larceny/Theft,a guy lock
3554,Larceny/Theft,a guy broke lock
3555,Larceny/Theft,a guy opened door
3556,Larceny/Theft,a guy Somebody broke into my house
3557,Larceny/Theft,a guy break intostole something in my apartment
3558,Larceny/Theft,a guy stole something
3559,Larceny/Theft,a guy stole something in my condo
3560,Larceny/Theft,a guy broke into my apartment
3561,Larceny/Theft,a guy broke into my condo
3562,Larceny/Theft,a guy breaking into that house
3563,Larceny/Theft,a guy breaking into that condo
3564,Larceny/Theft,a guy breaking into that apartment
3565,Larceny/Theft,a guy house
3566,Larceny/Theft,a guy apartment
3567,Larceny/Theft,a guy condo
3568,Larceny/Theft,a guy stole purse
3569,Larceny/Theft,a guy stole money
3570,Larceny/Theft,a guy took phone
3571,Larceny/Theft,a guy ran off after taking something
3572,Larceny/Theft,a guy stole belongings
3573,Larceny/Theft,a guy robbed me
3574,Larceny/Theft,a guy laptop stolen
3575,Larceny/Theft,a guy computer stolen
3576,Larceny/Theft,a guy took from locked car
3577,Larceny/Theft,a guy took credit card
3578,Larceny/Theft,a guy stole wallet
3579,Larceny/Theft,a guy shoplifting
3580,Larceny/Theft,a guy shop lifted
3581,Larceny/Theft,a guy took from store
3582,Larceny/Theft,a guy stole from mall
3583,Larceny/Theft,a guy lost it
3584,Larceny/Theft,a guy stolen bike
3585,Larceny/Theft,a guy stolen motercycke
3586,Larceny/Theft,a guy burglar
3587,Larceny/Theft,a guy robbery
3588,Larceny/Theft,a guy robbed
3589,Larceny/Theft,a guy robbing
3590,Larceny/Theft,a guy robbed me with gun
3591,Larceny/Theft,a guy robbed me with knife
3592,Larceny/Theft,a guy pickpocket
3593,Larceny/Theft,that person stole my bike
3594,Larceny/Theft,that person stole a bike
3595,Larceny/Theft,that person bike is gone
3596,Larceny/Theft,that person took bike
3597,Larceny/Theft,that person bike
3598,Larceny/Theft,that person bike lock
3599,Larceny/Theft,that person stealing
3600,Larceny/Theft,that person stole
3601,Larceny/Theft,that person broke
3602,Larceny/Theft,that person theft
3603,Larceny/Theft,that person thief
3604,Larceny/Theft,that person steal
3605,Larceny/Theft,that person took it
3606,Larceny/Theft,that person car stolen
3607,Larceny/Theft,that person car was hijacked
3608,Larceny/Theft,that person alarm in a car is going off
3609,Larceny/Theft,that person car is gone
3610,Larceny/Theft,that person stole car
3611,Larceny/Theft,that person took car
3612,Larceny/Theft,that person car
3613,Larceny/Theft,that person van
3614,Larceny/Theft,that person suv
3615,Larceny/Theft,that person tesla
3616,Larceny/Theft,that person toyota
3617,Larceny/Theft,that person honda
3618,Larceny/Theft,that person bmw
3619,Larceny/Theft,that person mercedes
3620,Larceny/Theft,that person truck
3621,Larceny/Theft,that person lock
3622,Larceny/Theft,that person broke lock
3623,Larceny/Theft,that person opened door
3624,Larceny/Theft,that person Somebody broke into my house
3625,Larceny/Theft,that person break intostole something in my apartment
3626,Larceny/Theft,that person stole something
3627,Larceny/Theft,that person stole something in my condo
3628,Larceny/Theft,that person broke into my apartment
3629,Larceny/Theft,that person broke into my condo
3630,Larceny/Theft,that person breaking into that house
3631,Larceny/Theft,that person breaking into that condo
3632,Larceny/Theft,that person breaking into that apartment
3633,Larceny/Theft,that person house
3634,Larceny/Theft,that person apartment
3635,Larceny/Theft,that person condo
3636,Larceny/Theft,that person stole purse
3637,Larceny/Theft,that person stole money
3638,Larceny/Theft,that person took phone
3639,Larceny/Theft,that person ran off after taking something
3640,Larceny/Theft,that person stole belongings
3641,Larceny/Theft,that person robbed me
3642,Larceny/Theft,that person laptop stolen
3643,Larceny/Theft,that person computer stolen
3644,Larceny/Theft,that person took from locked car
3645,Larceny/Theft,that person took credit card
3646,Larceny/Theft,that person stole wallet
3647,Larceny/Theft,that person shoplifting
3648,Larceny/Theft,that person shop lifted
3649,Larceny/Theft,that person took from store
3650,Larceny/Theft,that person stole from mall
3651,Larceny/Theft,that person lost it
3652,Larceny/Theft,that person stolen bike
3653,Larceny/Theft,that person stolen motercycke
3654,Larceny/Theft,that person burglar
3655,Larceny/Theft,that person robbery
3656,Larceny/Theft,that person robbed
3657,Larceny/Theft,that person robbing
3658,Larceny/Theft,that person robbed me with gun
3659,Larceny/Theft,that person robbed me with knife
3660,Larceny/Theft,that person pickpocket
3661,Larceny/Theft,them stole my bike
3662,Larceny/Theft,them stole a bike
3663,Larceny/Theft,them bike is gone
3664,Larceny/Theft,them took bike
3665,Larceny/Theft,them bike
3666,Larceny/Theft,them bike lock
3667,Larceny/Theft,them stealing
3668,Larceny/Theft,them stole
3669,Larceny/Theft,them broke
3670,Larceny/Theft,them theft
3671,Larceny/Theft,them thief
3672,Larceny/Theft,them steal
3673,Larceny/Theft,them took it
3674,Larceny/Theft,them car stolen
3675,Larceny/Theft,them car was hijacked
3676,Larceny/Theft,them alarm in a car is going off
3677,Larceny/Theft,them car is gone
3678,Larceny/Theft,them stole car
3679,Larceny/Theft,them took car
3680,Larceny/Theft,them car
3681,Larceny/Theft,them van
3682,Larceny/Theft,them suv
3683,Larceny/Theft,them tesla
3684,Larceny/Theft,them toyota
3685,Larceny/Theft,them honda
3686,Larceny/Theft,them bmw
3687,Larceny/Theft,them mercedes
3688,Larceny/Theft,them truck
3689,Larceny/Theft,them lock
3690,Larceny/Theft,them broke lock
3691,Larceny/Theft,them opened door
3692,Larceny/Theft,them Somebody broke into my house
3693,Larceny/Theft,them break intostole something in my apartment
3694,Larceny/Theft,them stole something
3695,Larceny/Theft,them stole something in my condo
3696,Larceny/Theft,them broke into my apartment
3697,Larceny/Theft,them broke into my condo
3698,Larceny/Theft,them breaking into that house
3699,Larceny/Theft,them breaking into that condo
3700,Larceny/Theft,them breaking into that apartment
3701,Larceny/Theft,them house
3702,Larceny/Theft,them apartment
3703,Larceny/Theft,them condo
3704,Larceny/Theft,them stole purse
3705,Larceny/Theft,them stole money
3706,Larceny/Theft,them took phone
3707,Larceny/Theft,them ran off after taking something
3708,Larceny/Theft,them stole belongings
3709,Larceny/Theft,them robbed me
3710,Larceny/Theft,them laptop stolen
3711,Larceny/Theft,them computer stolen
3712,Larceny/Theft,them took from locked car
3713,Larceny/Theft,them took credit card
3714,Larceny/Theft,them stole wallet
3715,Larceny/Theft,them shoplifting
3716,Larceny/Theft,them shop lifted
3717,Larceny/Theft,them took from store
3718,Larceny/Theft,them stole from mall
3719,Larceny/Theft,them lost it
3720,Larceny/Theft,them stolen bike
3721,Larceny/Theft,them stolen motercycke
3722,Larceny/Theft,them burglar
3723,Larceny/Theft,them robbery
3724,Larceny/Theft,them robbed
3725,Larceny/Theft,them robbing
3726,Larceny/Theft,them robbed me with gun
3727,Larceny/Theft,them robbed me with knife
3728,Larceny/Theft,them pickpocket
3729,Larceny/Theft,I see stole my bike
3730,Larceny/Theft,I see stole a bike
3731,Larceny/Theft,I see bike is gone
3732,Larceny/Theft,I see took bike
3733,Larceny/Theft,I see bike
3734,Larceny/Theft,I see bike lock
3735,Larceny/Theft,I see stealing
3736,Larceny/Theft,I see stole
3737,Larceny/Theft,I see broke
3738,Larceny/Theft,I see theft
3739,Larceny/Theft,I see thief
3740,Larceny/Theft,I see steal
3741,Larceny/Theft,I see took it
3742,Larceny/Theft,I see car stolen
3743,Larceny/Theft,I see car was hijacked
3744,Larceny/Theft,I see alarm in a car is going off
3745,Larceny/Theft,I see car is gone
3746,Larceny/Theft,I see stole car
3747,Larceny/Theft,I see took car
3748,Larceny/Theft,I see car
3749,Larceny/Theft,I see van
3750,Larceny/Theft,I see suv
3751,Larceny/Theft,I see tesla
3752,Larceny/Theft,I see toyota
3753,Larceny/Theft,I see honda
3754,Larceny/Theft,I see bmw
3755,Larceny/Theft,I see mercedes
3756,Larceny/Theft,I see truck
3757,Larceny/Theft,I see lock
3758,Larceny/Theft,I see broke lock
3759,Larceny/Theft,I see opened door
3760,Larceny/Theft,I see Somebody broke into my house
3761,Larceny/Theft,I see break intostole something in my apartment
3762,Larceny/Theft,I see stole something
3763,Larceny/Theft,I see stole something in my condo
3764,Larceny/Theft,I see broke into my apartment
3765,Larceny/Theft,I see broke into my condo
3766,Larceny/Theft,I see breaking into that house
3767,Larceny/Theft,I see breaking into that condo
3768,Larceny/Theft,I see breaking into that apartment
3769,Larceny/Theft,I see house
3770,Larceny/Theft,I see apartment
3771,Larceny/Theft,I see condo
3772,Larceny/Theft,I see stole purse
3773,Larceny/Theft,I see stole money
3774,Larceny/Theft,I see took phone
3775,Larceny/Theft,I see ran off after taking something
3776,Larceny/Theft,I see stole belongings
3777,Larceny/Theft,I see robbed me
3778,Larceny/Theft,I see laptop stolen
3779,Larceny/Theft,I see computer stolen
3780,Larceny/Theft,I see took from locked car
3781,Larceny/Theft,I see took credit card
3782,Larceny/Theft,I see stole wallet
3783,Larceny/Theft,I see shoplifting
3784,Larceny/Theft,I see shop lifted
3785,Larceny/Theft,I see took from store
3786,Larceny/Theft,I see stole from mall
3787,Larceny/Theft,I see lost it
3788,Larceny/Theft,I see stolen bike
3789,Larceny/Theft,I see stolen motercycke
3790,Larceny/Theft,I see burglar
3791,Larceny/Theft,I see robbery
3792,Larceny/Theft,I see robbed
3793,Larceny/Theft,I see robbing
3794,Larceny/Theft,I see robbed me with gun
3795,Larceny/Theft,I see robbed me with knife
3796,Larceny/Theft,I see pickpocket
3797,Larceny/Theft,There is stole my bike
3798,Larceny/Theft,There is stole a bike
3799,Larceny/Theft,There is bike is gone
3800,Larceny/Theft,There is took bike
3801,Larceny/Theft,There is bike
3802,Larceny/Theft,There is bike lock
3803,Larceny/Theft,There is stealing
3804,Larceny/Theft,There is stole
3805,Larceny/Theft,There is broke
3806,Larceny/Theft,There is theft
3807,Larceny/Theft,There is thief
3808,Larceny/Theft,There is steal
3809,Larceny/Theft,There is took it
3810,Larceny/Theft,There is car stolen
3811,Larceny/Theft,There is car was hijacked
3812,Larceny/Theft,There is alarm in a car is going off
3813,Larceny/Theft,There is car is gone
3814,Larceny/Theft,There is stole car
3815,Larceny/Theft,There is took car
3816,Larceny/Theft,There is car
3817,Larceny/Theft,There is van
3818,Larceny/Theft,There is suv
3819,Larceny/Theft,There is tesla
3820,Larceny/Theft,There is toyota
3821,Larceny/Theft,There is honda
3822,Larceny/Theft,There is bmw
3823,Larceny/Theft,There is mercedes
3824,Larceny/Theft,There is truck
3825,Larceny/Theft,There is lock
3826,Larceny/Theft,There is broke lock
3827,Larceny/Theft,There is opened door
3828,Larceny/Theft,There is Somebody broke into my house
3829,Larceny/Theft,There is break intostole something in my apartment
3830,Larceny/Theft,There is stole something
3831,Larceny/Theft,There is stole something in my condo
3832,Larceny/Theft,There is broke into my apartment
3833,Larceny/Theft,There is broke into my condo
3834,Larceny/Theft,There is breaking into that house
3835,Larceny/Theft,There is breaking into that condo
3836,Larceny/Theft,There is breaking into that apartment
3837,Larceny/Theft,There is house
3838,Larceny/Theft,There is apartment
3839,Larceny/Theft,There is condo
3840,Larceny/Theft,There is stole purse
3841,Larceny/Theft,There is stole money
3842,Larceny/Theft,There is took phone
3843,Larceny/Theft,There is ran off after taking something
3844,Larceny/Theft,There is stole belongings
3845,Larceny/Theft,There is robbed me
3846,Larceny/Theft,There is laptop stolen
3847,Larceny/Theft,There is computer stolen
3848,Larceny/Theft,There is took from locked car
3849,Larceny/Theft,There is took credit card
3850,Larceny/Theft,There is stole wallet
3851,Larceny/Theft,There is shoplifting
3852,Larceny/Theft,There is shop lifted
3853,Larceny/Theft,There is took from store
3854,Larceny/Theft,There is stole from mall
3855,Larceny/Theft,There is lost it
3856,Larceny/Theft,There is stolen bike
3857,Larceny/Theft,There is stolen motercycke
3858,Larceny/Theft,There is burglar
3859,Larceny/Theft,There is robbery
3860,Larceny/Theft,There is robbed
3861,Larceny/Theft,There is robbing
3862,Larceny/Theft,There is robbed me with gun
3863,Larceny/Theft,There is robbed me with knife
3864,Larceny/Theft,There is pickpocket
3865,Larceny/Theft,Another stole my bike
3866,Larceny/Theft,Another stole a bike
3867,Larceny/Theft,Another bike is gone
3868,Larceny/Theft,Another took bike
3869,Larceny/Theft,Another bike
3870,Larceny/Theft,Another bike lock
3871,Larceny/Theft,Another stealing
3872,Larceny/Theft,Another stole
3873,Larceny/Theft,Another broke
3874,Larceny/Theft,Another theft
3875,Larceny/Theft,Another thief
3876,Larceny/Theft,Another steal
3877,Larceny/Theft,Another took it
3878,Larceny/Theft,Another car stolen
3879,Larceny/Theft,Another car was hijacked
3880,Larceny/Theft,Another alarm in a car is going off
3881,Larceny/Theft,Another car is gone
3882,Larceny/Theft,Another stole car
3883,Larceny/Theft,Another took car
3884,Larceny/Theft,Another car
3885,Larceny/Theft,Another van
3886,Larceny/Theft,Another suv
3887,Larceny/Theft,Another tesla
3888,Larceny/Theft,Another toyota
3889,Larceny/Theft,Another honda
3890,Larceny/Theft,Another bmw
3891,Larceny/Theft,Another mercedes
3892,Larceny/Theft,Another truck
3893,Larceny/Theft,Another lock
3894,Larceny/Theft,Another broke lock
3895,Larceny/Theft,Another opened door
3896,Larceny/Theft,Another Somebody broke into my house
3897,Larceny/Theft,Another break intostole something in my apartment
3898,Larceny/Theft,Another stole something
3899,Larceny/Theft,Another stole something in my condo
3900,Larceny/Theft,Another broke into my apartment
3901,Larceny/Theft,Another broke into my condo
3902,Larceny/Theft,Another breaking into that house
3903,Larceny/Theft,Another breaking into that condo
3904,Larceny/Theft,Another breaking into that apartment
3905,Larceny/Theft,Another house
3906,Larceny/Theft,Another apartment
3907,Larceny/Theft,Another condo
3908,Larceny/Theft,Another stole purse
3909,Larceny/Theft,Another stole money
3910,Larceny/Theft,Another took phone
3911,Larceny/Theft,Another ran off after taking something
3912,Larceny/Theft,Another stole belongings
3913,Larceny/Theft,Another robbed me
3914,Larceny/Theft,Another laptop stolen
3915,Larceny/Theft,Another computer stolen
3916,Larceny/Theft,Another took from locked car
3917,Larceny/Theft,Another took credit card
3918,Larceny/Theft,Another stole wallet
3919,Larceny/Theft,Another shoplifting
3920,Larceny/Theft,Another shop lifted
3921,Larceny/Theft,Another took from store
3922,Larceny/Theft,Another stole from mall
3923,Larceny/Theft,Another lost it
3924,Larceny/Theft,Another stolen bike
3925,Larceny/Theft,Another stolen motercycke
3926,Larceny/Theft,Another burglar
3927,Larceny/Theft,Another robbery
3928,Larceny/Theft,Another robbed
3929,Larceny/Theft,Another robbing
3930,Larceny/Theft,Another robbed me with gun
3931,Larceny/Theft,Another robbed me with knife
3932,Larceny/Theft,Another pickpocket
3933,Mental Health/Bullying,He isn't ok
3934,Mental Health/Bullying,He shouting
3935,Mental Health/Bullying,He yelling at no one
3936,Mental Health/Bullying,He has mental health issues
3937,Mental Health/Bullying,He hurting himself
3938,Mental Health/Bullying,He hurting herself
3939,Mental Health/Bullying,He self harm
3940,Mental Health/Bullying,He cutting
3941,Mental Health/Bullying,He kill myself
3942,Mental Health/Bullying,He kill themselves
3943,Mental Health/Bullying,He going to kill himself
3944,Mental Health/Bullying,He going to kill herself
3945,Mental Health/Bullying,He hanging
3946,Mental Health/Bullying,He slit wrists
3947,Mental Health/Bullying,He jumped
3948,Mental Health/Bullying,He jump off
3949,Mental Health/Bullying,He phone calls
3950,Mental Health/Bullying,He prank
3951,Mental Health/Bullying,He pranked
3952,Mental Health/Bullying,He pranking
3953,Mental Health/Bullying,He calling
3954,Mental Health/Bullying,He prank calls
3955,Mental Health/Bullying,He attempted suicide
3956,Mental Health/Bullying,He loitering
3957,Mental Health/Bullying,He standing around
3958,Mental Health/Bullying,He sleeping
3959,Mental Health/Bullying,He suicide
3960,Mental Health/Bullying,He needs help
3961,Mental Health/Bullying,He issues
3962,Mental Health/Bullying,He paranoid
3963,Mental Health/Bullying,He weird
3964,Mental Health/Bullying,He something wrong
3965,Mental Health/Bullying,He ghosts
3966,Mental Health/Bullying,He demons
3967,Mental Health/Bullying,He death
3968,Mental Health/Bullying,She isn't ok
3969,Mental Health/Bullying,She shouting
3970,Mental Health/Bullying,She yelling at no one
3971,Mental Health/Bullying,She has mental health issues
3972,Mental Health/Bullying,She hurting himself
3973,Mental Health/Bullying,She hurting herself
3974,Mental Health/Bullying,She self harm
3975,Mental Health/Bullying,She cutting
3976,Mental Health/Bullying,She kill myself
3977,Mental Health/Bullying,She kill themselves
3978,Mental Health/Bullying,She going to kill himself
3979,Mental Health/Bullying,She going to kill herself
3980,Mental Health/Bullying,She hanging
3981,Mental Health/Bullying,She slit wrists
3982,Mental Health/Bullying,She jumped
3983,Mental Health/Bullying,She jump off
3984,Mental Health/Bullying,She phone calls
3985,Mental Health/Bullying,She prank
3986,Mental Health/Bullying,She pranked
3987,Mental Health/Bullying,She pranking
3988,Mental Health/Bullying,She calling
3989,Mental Health/Bullying,She prank calls
3990,Mental Health/Bullying,She attempted suicide
3991,Mental Health/Bullying,She loitering
3992,Mental Health/Bullying,She standing around
3993,Mental Health/Bullying,She sleeping
3994,Mental Health/Bullying,She suicide
3995,Mental Health/Bullying,She needs help
3996,Mental Health/Bullying,She issues
3997,Mental Health/Bullying,She paranoid
3998,Mental Health/Bullying,She weird
3999,Mental Health/Bullying,She something wrong
4000,Mental Health/Bullying,She ghosts
4001,Mental Health/Bullying,She demons
4002,Mental Health/Bullying,She death
4003,Mental Health/Bullying,They isn't ok
4004,Mental Health/Bullying,They shouting
4005,Mental Health/Bullying,They yelling at no one
4006,Mental Health/Bullying,They has mental health issues
4007,Mental Health/Bullying,They hurting himself
4008,Mental Health/Bullying,They hurting herself
4009,Mental Health/Bullying,They self harm
4010,Mental Health/Bullying,They cutting
4011,Mental Health/Bullying,They kill myself
4012,Mental Health/Bullying,They kill themselves
4013,Mental Health/Bullying,They going to kill himself
4014,Mental Health/Bullying,They going to kill herself
4015,Mental Health/Bullying,They hanging
4016,Mental Health/Bullying,They slit wrists
4017,Mental Health/Bullying,They jumped
4018,Mental Health/Bullying,They jump off
4019,Mental Health/Bullying,They phone calls
4020,Mental Health/Bullying,They prank
4021,Mental Health/Bullying,They pranked
4022,Mental Health/Bullying,They pranking
4023,Mental Health/Bullying,They calling
4024,Mental Health/Bullying,They prank calls
4025,Mental Health/Bullying,They attempted suicide
4026,Mental Health/Bullying,They loitering
4027,Mental Health/Bullying,They standing around
4028,Mental Health/Bullying,They sleeping
4029,Mental Health/Bullying,They suicide
4030,Mental Health/Bullying,They needs help
4031,Mental Health/Bullying,They issues
4032,Mental Health/Bullying,They paranoid
4033,Mental Health/Bullying,They weird
4034,Mental Health/Bullying,They something wrong
4035,Mental Health/Bullying,They ghosts
4036,Mental Health/Bullying,They demons
4037,Mental Health/Bullying,They death
4038,Mental Health/Bullying,Us isn't ok
4039,Mental Health/Bullying,Us shouting
4040,Mental Health/Bullying,Us yelling at no one
4041,Mental Health/Bullying,Us has mental health issues
4042,Mental Health/Bullying,Us hurting himself
4043,Mental Health/Bullying,Us hurting herself
4044,Mental Health/Bullying,Us self harm
4045,Mental Health/Bullying,Us cutting
4046,Mental Health/Bullying,Us kill myself
4047,Mental Health/Bullying,Us kill themselves
4048,Mental Health/Bullying,Us going to kill himself
4049,Mental Health/Bullying,Us going to kill herself
4050,Mental Health/Bullying,Us hanging
4051,Mental Health/Bullying,Us slit wrists
4052,Mental Health/Bullying,Us jumped
4053,Mental Health/Bullying,Us jump off
4054,Mental Health/Bullying,Us phone calls
4055,Mental Health/Bullying,Us prank
4056,Mental Health/Bullying,Us pranked
4057,Mental Health/Bullying,Us pranking
4058,Mental Health/Bullying,Us calling
4059,Mental Health/Bullying,Us prank calls
4060,Mental Health/Bullying,Us attempted suicide
4061,Mental Health/Bullying,Us loitering
4062,Mental Health/Bullying,Us standing around
4063,Mental Health/Bullying,Us sleeping
4064,Mental Health/Bullying,Us suicide
4065,Mental Health/Bullying,Us needs help
4066,Mental Health/Bullying,Us issues
4067,Mental Health/Bullying,Us paranoid
4068,Mental Health/Bullying,Us weird
4069,Mental Health/Bullying,Us something wrong
4070,Mental Health/Bullying,Us ghosts
4071,Mental Health/Bullying,Us demons
4072,Mental Health/Bullying,Us death
4073,Mental Health/Bullying,A guy isn't ok
4074,Mental Health/Bullying,A guy shouting
4075,Mental Health/Bullying,A guy yelling at no one
4076,Mental Health/Bullying,A guy has mental health issues
4077,Mental Health/Bullying,A guy hurting himself
4078,Mental Health/Bullying,A guy hurting herself
4079,Mental Health/Bullying,A guy self harm
4080,Mental Health/Bullying,A guy cutting
4081,Mental Health/Bullying,A guy kill myself
4082,Mental Health/Bullying,A guy kill themselves
4083,Mental Health/Bullying,A guy going to kill himself
4084,Mental Health/Bullying,A guy going to kill herself
